nom,prix,ancien_prix,remise_pct,url,image_url,site,categorie,date_scraping,en_promotion,gamme_prix,product_id
MEHAMN,4600.0,,0.0,https://www.ikea.com/ma/fr/p/mehamn-jeu-2-ptes-coul-aluminium-double-face-bleu-s69616251/,https://www.ikea.com/ma/fr/images/products/mehamn-jeu-2-ptes-coul-aluminium-double-face-bleu__1476786_pe999016_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:54,False,Premium (4000-10k),ikea_161
ALEX,2999.0,,0.0,https://www.ikea.com/ma/fr/p/alex-bureau-blanc-80483438/,https://www.ikea.com/ma/fr/images/products/alex-bureau-blanc__0977666_pe813729_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:52:00,False,Milieu (1500-4000),ikea_170
PLÖJKER,795.0,,0.0,https://www.ikea.com/ma/fr/p/ploejker-table-de-chevet-gris-beige-80595068/,https://www.ikea.com/ma/fr/images/products/ploejker-table-de-chevet-gris-beige__1450957_pe990520_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:07,False,Économique (500-1500),ikea_174
PAX / FARDAL/ÅHEIM,6140.0,,0.0,https://www.ikea.com/ma/fr/p/pax-fardal-aheim-armoire-dangle-brillant-blanc-miroir-s19502657/,https://www.ikea.com/ma/fr/images/products/pax-fardal-aheim-armoire-dangle-brillant-blanc-miroir__1389423_pe965209_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:12,False,Premium (4000-10k),ikea_183
NORDKISA,1995.0,,0.0,https://www.ikea.com/ma/fr/p/nordkisa-coiffeuse-bambou-20439472/,https://www.ikea.com/ma/fr/images/products/nordkisa-coiffeuse-bambou__0756073_pe748752_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:52:00,False,Milieu (1500-4000),ikea_192
RÅDMANSÖ,1995.0,,0.0,https://www.ikea.com/ma/fr/p/radmansoe-commode-3-tiroirs-brun-motif-noyer-20593604/,https://www.ikea.com/ma/fr/images/products/radmansoe-commode-3-tiroirs-brun-motif-noyer__1384138_pe962857_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:09,False,Milieu (1500-4000),ikea_239
SLÄKT,1699.0,,0.0,https://www.ikea.com/ma/fr/p/slaekt-cadre-de-lit-avec-sommier-a-lattes-blanc-s79227755/,https://www.ikea.com/ma/fr/images/products/slaekt-cadre-de-lit-avec-sommier-a-lattes-blanc__0637774_pe698536_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:50:53,False,Milieu (1500-4000),ikea_245
HASVIK,3500.0,,0.0,https://www.ikea.com/ma/fr/p/hasvik-jeu-2-ptes-coul-effet-chene-blanchi-70521563/,https://www.ikea.com/ma/fr/images/products/hasvik-jeu-2-ptes-coul-effet-chene-blanchi__0703783_pe724847_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:51:54,False,Milieu (1500-4000),ikea_251
TÄLLÅSEN,4295.0,,0.0,https://www.ikea.com/ma/fr/p/taellasen-cadre-de-lit-matelasse-kulsta-gris-vert-luroey-s89514751/,https://www.ikea.com/ma/fr/images/products/taellasen-cadre-de-lit-matelasse-kulsta-gris-vert-luroey__1198828_pe904232_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:50:58,False,Premium (4000-10k),ikea_263
LASTARE,1480.0,,0.0,https://www.ikea.com/ma/fr/p/lastare-combinaison-armoire-blanc-s89602875/,https://www.ikea.com/ma/fr/images/products/lastare-combinaison-armoire-blanc__1472945_pe997623_s5.jpg?f=xxs,ikea,Chambre Adulte,2026-06-11 18:52:02,False,Économique (500-1500),ikea_265
